3460,苹果 15年 13寸 MacBook Air,固态硬盘256GB,2.2GHz Intel Core i7,4GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,Intel HD 6000,无硬件锁,显卡功能正常,不缺件
3830,苹果 15年 13寸 MacBook Air,固态硬盘512GB,2.2GHz Intel Core i7,4GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,Intel HD 6000,无硬件锁,显卡功能正常,不缺件
3190,苹果 15年 13寸 MacBook Air,固态硬盘128GB,1.6GHz Intel Core i5,8GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,Intel HD 6000,无硬件锁,显卡功能正常,不缺件
510,苹果 15年 13寸 MacBook Air,固态硬盘128GB,1.6GHz Intel Core i5,8GB,蓝屏、死机、不能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,Intel HD 6000,无硬件锁,显卡功能正常,不缺件
190,苹果 15年 13寸 MacBook Air,固态硬盘128GB,1.6GHz Intel Core i5,8GB,无法开机,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,Intel HD 6000,无硬件锁,显卡功能正常,不缺件
2970,苹果 15年 13寸 MacBook Air,固态硬盘128GB,1.6GHz Intel Core i5,8GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,无磕碰掉漆，有轻微划痕,Intel HD 6000,无硬件锁,显卡功能正常,不缺件
2900,苹果 15年 13寸 MacBook Air,固态硬盘128GB,1.6GHz Intel Core i5,8GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,仅有1-2处磕碰掉漆,Intel HD 6000,无硬件锁,显卡功能正常,不缺件
2390,苹果 15年 13寸 MacBook Air,固态硬盘128GB,1.6GHz Intel Core i5,8GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,有多处磕碰、掉漆,Intel HD 6000,无硬件锁,显卡功能正常,不缺件
2610,苹果 15年 13寸 MacBook Air,固态硬盘128GB,1.6GHz Intel Core i5,8GB,开机后能进入操作系统桌面,经常使用，完好有细微划痕,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,Intel HD 6000,无硬件锁,显卡功能正常,不缺件
1850,苹果 15年 13寸 MacBook Air,固态硬盘128GB,1.6GHz Intel Core i5,8GB,开机后能进入操作系统桌面,屏幕有裂痕、缺角、碎裂,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,Intel HD 6000,无硬件锁,显卡功能正常,不缺件
2610,苹果 15年 13寸 MacBook Air,固态硬盘128GB,1.6GHz Intel Core i5,8GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,经常使用，显示正常轻微亮黑点,几乎全新，无任何瑕疵,Intel HD 6000,无硬件锁,显卡功能正常,不缺件
1850,苹果 15年 13寸 MacBook Air,固态硬盘128GB,1.6GHz Intel Core i5,8GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,显示异常，有色斑、漏光、花屏,几乎全新，无任何瑕疵,Intel HD 6000,无硬件锁,显卡功能正常,不缺件
830,苹果 15年 13寸 MacBook Air,固态硬盘128GB,1.6GHz Intel Core i5,8GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,Intel HD 6000,无硬件锁,显卡功能正常,不缺件,机身进水
830,苹果 15年 13寸 MacBook Air,固态硬盘128GB,1.6GHz Intel Core i5,8GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,Intel HD 6000,无硬件锁,显卡功能正常,不缺件,严重维修
2070,苹果 15年 13寸 MacBook Air,固态硬盘128GB,1.6GHz Intel Core i5,8GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,Intel HD 6000,无硬件锁,显卡功能正常,不缺件,硬盘损坏、健康度低、硬盘锁
2490,苹果 15年 13寸 MacBook Air,固态硬盘128GB,1.6GHz Intel Core i5,8GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,Intel HD 6000,无硬件锁,显卡功能正常,不缺件,键盘外观磨损、功能异常
2070,苹果 15年 13寸 MacBook Air,固态硬盘128GB,1.6GHz Intel Core i5,8GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,Intel HD 6000,无硬件锁,显卡功能正常,不缺件,无电池，电池鼓胀或不供电
2490,苹果 15年 13寸 MacBook Air,固态硬盘128GB,1.6GHz Intel Core i5,8GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,Intel HD 6000,无硬件锁,显卡功能正常,不缺件,触摸板外观磨损、功能异常 
2070,苹果 15年 13寸 MacBook Air,固态硬盘128GB,1.6GHz Intel Core i5,8GB,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,几乎全新，无任何瑕疵,Intel HD 6000,无硬件锁,显卡功能正常,不缺件,接口功能异常
